Ano	Estado	Mes	Numero	Periodo
"2016	Alagoas	Dezembro	155	01/01/2016"
"1998	Amapá	Janeiro	0	01/01/1998"
"1999	Amapá	Janeiro	0	01/01/1999"
"2000	Amapá	Janeiro	2	01/01/2000"
"2001	Amapá	Janeiro	0	01/01/2001"
"2002	Amapá	Janeiro	7	01/01/2002"
"2003	Amapá	Janeiro	31	01/01/2003"
"2004	Amapá	Janeiro	38	01/01/2004"
"2005	Amapá	Janeiro	109	01/01/2005"
"2006	Amapá	Janeiro	6	01/01/2006"
"2007	Amapá	Janeiro	0	01/01/2007"
"2008	Amapá	Janeiro	2	01/01/2008"
"2009	Amapá	Janeiro	4	01/01/2009"
"2010	Amapá	Janeiro	2	01/01/2010"
"2011	Amapá	Janeiro	0	01/01/2011"
"2012	Amapá	Janeiro	30	01/01/2012"
"2013	Amapá	Janeiro	3	01/01/2013"
"2014	Amapá	Janeiro	10	01/01/2014"
"2015	Amapá	Janeiro	14	01/01/2015"
"2016	Amapá	Janeiro	19	01/01/2016"
"2017	Amapá	Janeiro	2	01/01/2017"
"1998	Amapá	Fevereiro	0	01/01/1998"
"1999	Amapá	Fevereiro	1	01/01/1999"
"2000	Amapá	Fevereiro	0	01/01/2000"
"2001	Amapá	Fevereiro	0	01/01/2001"
"2002	Amapá	Fevereiro	2	01/01/2002"
"2003	Amapá	Fevereiro	0	01/01/2003"
"2004	Amapá	Fevereiro	2	01/01/2004"
"2005	Amapá	Fevereiro	1	01/01/2005"
"2006	Amapá	Fevereiro	2	01/01/2006"
"2007	Amapá	Fevereiro	0	01/01/2007"
"2008	Amapá	Fevereiro	0	01/01/2008"
"2009	Amapá	Fevereiro	0	01/01/2009"
"2010	Amapá	Fevereiro	0	01/01/2010"
"2011	Amapá	Fevereiro	3	01/01/2011"
"2012	Amapá	Fevereiro	5	01/01/2012"
"2013	Amapá	Fevereiro	0	01/01/2013"
"2014	Amapá	Fevereiro	2	01/01/2014"
"2015	Amapá	Fevereiro	1	01/01/2015"
"2016	Amapá	Fevereiro	1	01/01/2016"
"2017	Amapá	Fevereiro	0	01/01/2017"
"1998	Amapá	Março	0	01/01/1998"
"1999	Amapá	Março	2	01/01/1999"
"2000	Amapá	Março	0	01/01/2000"
"2001	Amapá	Março	0	01/01/2001"
"2002	Amapá	Março	0	01/01/2002"
"2003	Amapá	Março	1	01/01/2003"
"2004	Amapá	Março	0	01/01/2004"
"2005	Amapá	Março	0	01/01/2005"
"2006	Amapá	Março	0	01/01/2006"
"2007	Amapá	Março	0	01/01/2007"
"2008	Amapá	Março	1	01/01/2008"
"2009	Amapá	Março	1	01/01/2009"
"2010	Amapá	Março	2	01/01/2010"
"2011	Amapá	Março	0	01/01/2011"
"2012	Amapá	Março	1	01/01/2012"
"2013	Amapá	Março	0	01/01/2013"
"2014	Amapá	Março	1	01/01/2014"
"2015	Amapá	Março	2	01/01/2015"
"2016	Amapá	Março	5	01/01/2016"
